DATE,AUTO_INDEX NAME,AUTO_OPEN,AUTO_HIGH,AUTO_LOW,AUTO_CLOSE,AUTO_CLOSE_RETURNS,BANK_INDEX NAME,BANK_OPEN,BANK_HIGH,BANK_LOW,BANK_CLOSE,BANK_CLOSE_RETURNS,FMCG_INDEX NAME,FMCG_OPEN,FMCG_HIGH,FMCG_LOW,FMCG_CLOSE,FMCG_CLOSE_RETURNS,IT_INDEX NAME,IT_OPEN,IT_HIGH,IT_LOW,IT_CLOSE,IT_CLOSE_RETURNS,METAL_INDEX NAME,METAL_OPEN,METAL_HIGH,METAL_LOW,METAL_CLOSE,METAL_CLOSE_RETURNS,PHARMA_INDEX NAME,PHARMA_OPEN,PHARMA_HIGH,PHARMA_LOW,PHARMA_CLOSE,PHARMA_CLOSE_RETURNS
2019-01-29,NIFTY AUTO,8127.65,8178.75,8059.45,8120.45,-0.002773091127756362,NIFTY BANK,26616.25,26743.85,26441.55,26573.4,-0.002992875138359932,NIFTY FMCG,29561.55,29842.1,29488.7,29758.9,0.006518414738452745,NIFTY IT,15126.15,15293.0,14986.7,15231.3,0.00732753662452261,NIFTY METAL,2823.75,2846.35,2803.75,2828.35,0.00042436566811376836,NIFTY PHARMA,8635.15,8786.55,8562.35,8756.9,0.010676993419852378
2019-01-30,NIFTY AUTO,8149.25,8176.45,8080.2,8118.4,-0.00025248093441223327,NIFTY BANK,26789.75,26916.25,26693.7,26825.5,0.009442212217966173,NIFTY FMCG,29853.9,29857.55,29337.35,29463.85,-0.009964158744827275,NIFTY IT,15304.0,15381.45,15192.4,15255.2,0.0015679074276273937,NIFTY METAL,2835.05,2892.35,2830.8,2882.05,0.018808343737354905,NIFTY PHARMA,8771.5,8784.0,8692.9,8734.6,-0.0025498112891429434
2019-01-31,NIFTY AUTO,8145.15,8236.55,8083.9,8218.4,0.012242452497091091,NIFTY BANK,26969.15,27325.05,26891.05,27295.45,0.01736709396177882,NIFTY FMCG,29571.8,29872.75,29450.6,29800.55,0.011362761545533508,NIFTY IT,15299.45,15513.45,15276.05,15499.3,0.01587443307679646,NIFTY METAL,2899.85,2920.35,2875.6,2915.85,0.011659526004106826,NIFTY PHARMA,8748.45,8866.55,8713.8,8825.35,0.010336112339716187
2019-02-04,NIFTY AUTO,8444.75,8446.0,8325.75,8395.55,0.021326260651172654,NIFTY BANK,26974.0,27243.8,26825.55,27186.6,-0.003995816781119437,NIFTY FMCG,30233.0,30299.35,29889.2,30008.9,0.00696715461508708,NIFTY IT,15727.2,15819.7,15635.9,15754.8,0.01635021913085144,NIFTY METAL,2814.3,2815.9,2737.25,2794.45,-0.042526065214971286,NIFTY PHARMA,8992.1,8998.25,8772.9,8811.9,-0.0015251813754705102
2019-02-05,NIFTY AUTO,8410.6,8489.7,8408.25,8468.3,0.0086279765657239,NIFTY BANK,27226.05,27348.25,27153.2,27271.7,0.0031253296290614497,NIFTY FMCG,30023.95,30053.65,29695.35,29759.85,-0.00833383470235998,NIFTY IT,15709.0,15812.15,15634.95,15738.7,-0.0010224332895700094,NIFTY METAL,2791.75,2806.6,2749.25,2768.3,-0.009401893893660479,NIFTY PHARMA,8828.5,8887.45,8764.5,8800.6,-0.0012831797360398607
2019-02-06,NIFTY AUTO,8490.2,8593.55,8441.5,8567.4,0.011634522545354095,NIFTY BANK,27326.2,27428.65,27294.1,27402.35,0.004779241657895545,NIFTY FMCG,29883.35,30074.65,29805.6,30029.0,0.009003411777872413,NIFTY IT,15857.7,16090.7,15835.7,16055.6,0.019935050922168206,NIFTY METAL,2776.35,2842.5,2741.25,2832.95,0.023085158171976556,NIFTY PHARMA,8803.4,8955.0,8703.4,8906.9,0.012006356283906386
2019-02-07,NIFTY AUTO,8584.6,8756.25,8581.0,8736.7,0.01956824131541683,NIFTY BANK,27424.1,27589.75,27322.95,27387.15,-0.0005548508524426562,NIFTY FMCG,30091.65,30319.5,30034.45,30266.3,0.007871300920830951,NIFTY IT,16045.55,16167.85,16031.15,16085.85,0.0018823051810976693,NIFTY METAL,2829.85,2855.05,2806.6,2835.8,0.0010055127638813853,NIFTY PHARMA,8937.95,9088.55,8937.95,9056.15,0.016617827665918048
2019-02-08,NIFTY AUTO,8639.95,8643.85,8399.9,8420.35,-0.0368811489112997,NIFTY BANK,27302.65,27482.1,27221.25,27294.4,-0.003392372343092012,NIFTY FMCG,30163.2,30315.45,29699.9,29769.05,-0.016565619129924294,NIFTY IT,16001.15,16145.7,15979.8,16019.8,-0.004114546391848147,NIFTY METAL,2821.65,2826.9,2731.7,2740.5,-0.03418369881728652,NIFTY PHARMA,9060.8,9060.8,8921.6,8984.85,-0.007904259322542566
2019-02-11,NIFTY AUTO,8364.55,8365.9,8257.9,8320.3,-0.011953083210922843,NIFTY BANK,27240.5,27305.9,27151.55,27227.8,-0.0024430427651467358,NIFTY FMCG,29744.5,29842.95,29320.85,29728.5,-0.0013630815480119777,NIFTY IT,16050.2,16159.05,16002.5,16099.05,0.004934806870526698,NIFTY METAL,2739.6,2756.1,2675.5,2725.2,-0.005598565586658041,NIFTY PHARMA,8924.95,8957.3,8772.6,8838.0,-0.01647921889680162
2019-02-12,NIFTY AUTO,8312.5,8344.85,8259.2,8278.1,-0.005084838409174577,NIFTY BANK,27166.9,27286.65,26988.9,27010.75,-0.00800357526643601,NIFTY FMCG,29767.6,29817.9,29483.5,29524.0,-0.006902689742569148,NIFTY IT,16093.45,16094.6,15788.1,15938.6,-0.010016423893557669,NIFTY METAL,2724.4,2805.2,2713.0,2767.95,0.015565154091083656,NIFTY PHARMA,8839.9,8948.05,8795.25,8904.95,0.007546695194180522
2019-02-13,NIFTY AUTO,8300.3,8310.6,8161.3,8177.55,-0.012220878716354872,NIFTY BANK,27068.85,27108.0,26839.05,26885.4,-0.004651546576711592,NIFTY FMCG,29779.25,29970.1,29365.65,29438.5,-0.0029001504321376757,NIFTY IT,15958.4,16087.3,15885.3,16041.65,0.00644462483351547,NIFTY METAL,2785.4,2796.45,2733.95,2741.7,-0.00952880804433105,NIFTY PHARMA,9000.1,9009.15,8803.55,8839.75,-0.007348706196065216
2019-02-14,NIFTY AUTO,8178.1,8268.35,8166.7,8223.35,0.005585073874410986,NIFTY BANK,26978.0,27030.0,26818.05,26970.6,0.0031639955094007674,NIFTY FMCG,29423.8,29597.3,29399.95,29451.45,0.00043980340308454854,NIFTY IT,15992.45,16002.2,15828.85,15861.65,-0.011284218873902057,NIFTY METAL,2727.0,2741.6,2678.0,2733.65,-0.0029404534140109895,NIFTY PHARMA,8835.5,8944.65,8809.7,8920.9,0.00913824265649514
2019-02-15,NIFTY AUTO,8228.2,8236.7,8057.15,8132.55,-0.011103141106854574,NIFTY BANK,27017.2,27029.95,26635.25,26794.25,-0.0065600715868439075,NIFTY FMCG,29542.75,29568.3,29003.25,29309.1,-0.004845096871000998,NIFTY IT,15898.4,15912.45,15620.45,15815.6,-0.0029074514005749696,NIFTY METAL,2739.5,2740.65,2653.75,2677.1,-0.020903593461179662,NIFTY PHARMA,8890.95,8893.45,8252.1,8643.3,-0.031612384024961734
